id,mondai,seikai,op_1,op_2,op_3,op_4,op_5,op_6
0,0001.jpg,クロハラアジサシ,コアジサシ,ユリカモメ,ズグロカモメ,セイタカシギ,,
1,0002.jpg,ダイサギ,クロサギ,チュウサギ,クロツラヘラサギ,コサギ,アマサギ,ムラサキサギ
2,0003.jpg,ベニシオマネキ,オキナワハクセンシオマネキ,リュウキュウシオマネキ,ヒメシオマネキ,オカガニ,フタバカクガニ,
3,0004.jpg,ミナミトビハゼ,チチブモドキ,トビハゼ,キララハゼ,ロウニンアジ,カワヨウジ,
4,0005.jpg,キララハゼ,フタスジノボリハゼ,チチブモドキ,ツマグロスジハゼ,スジモヨウフグ,ボラ,テンジクガレイ
5,0006.jpg,ヤエヤマヒルギ,オヒルギ,メヒルギ,モモタマナ,シマシラキ,オオハマボウ,
6,0007.jpg,ゲットウ,ゲッキツ,ナハキハギ,メヒルギ,タイワンウオクサギ,,
7,0008.jpg,ミナミオカガニ,ノコギリガザミ,ヤエヤマシオマネキ,フタバカクガニ,ハマガニ,ヒメヤマトオサガニ,
8,0009.jpg,カワセミ,イソヒヨドリ,アカショウビン,ルリカケス,メジロ,コサギ,
9,0010.jpg,キジバト,ズアカアオバト,ドバト,スズメ,ハシブトガラス,カラスバト,
